,id,uuid,record,associaties_Categorie2,Opgeschoond,associaties_positief_Categorie2,associaties_relevant_Categorie2
Hertog~Jan,514,ja3098c6b9eabh06,411,hertogjan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,181,fnmwedrw3rnmz2cm,724,Hertogh Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan~en~alfa~bier,414,vpwjq2skvvhsdsjw,1708,Hertog Jan en alfa bier,Hertog Jan en alfa bier,Positief,Niet bij het kopen van pils
Hertog~Jan,1,ystezfdpfhnw8gf2,6,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,109,0vcxpwyfc3vx5jnk,412,Hertog Jan,Hertog Jan,Positief,Niet bij het kopen van pils
Hertog~Jan,152,nu6zmr2w26ps9bcy,604,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,189,60ys1gxmg11hbvnf,754,Hertog Jan,Hertog Jan,Neutraal,Niet bij het kopen van pils
Hertog~Jan,239,gy6uqbskjr9vrd7k,913,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,250,96pcfzzn7zqx516w,939,Hertog Jan,Hertog Jan,Negatief,Niet bij het kopen van pils
Hertog~Jan,260,xd31ec5phjgar6ws,976,Hertog Jan,Hertog Jan,Neutraal,Niet bij het kopen van pils
Hertog~Jan,268,69f6vsh9wbx9gww8,995,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,319,5rf5x79vvbp88kza,1175,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,322,8v8sy5ahykkgf6vr,1183,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,326,d5qwt2zgzk56uwwz,1220,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,331,14t1kdpu0cenb1cd,1243,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,462,rc7keew278rg0za5,2009,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,509,8b4hsa4jr483vsmf,310,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,512,mreg1gbzv73ggrh3,343,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,518,fa6tczqkjmvk9fnb,487,Hertog Jan,Hertog Jan,Neutraal,Niet bij het kopen van pils
Hertog~Jan,542,e73u9mxmds37jxmm,1186,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,570,eb0m6c0b48ms0cj6,1518,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,571,6m2zu8epruu3jh84,1524,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,607,3add9w4mr4tr2dst,2073,Hertog Jan,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~jan,149,9vtdsykbp1zs9276,588,Hertog jan,Hertog jan,Neutraal,Niet bij het kopen van pils
Hertog~jan,164,gmtsg47ae3cp58xn,665,Hertog jan,Hertog jan,Positief,Relevant bij het kopen van pils
Hertog~jan,334,460zcpgan27g5mvc,1263,Hertog jan,Hertog jan,Positief,Relevant bij het kopen van pils
Hertog~jan,415,xm4s5y9jqcu6rj4z,1719,Hertog jan,Hertog jan,Positief,Relevant bij het kopen van pils
Hertog~jan,516,4af2qn1j5y46yqw3,423,Hertog jan,Hertog jan,Positief,Niet bij het kopen van pils
Hertog~jan,557,0pepd0gxx1u2c5q9,1421,Hertog jan,Hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,9,xkdawsu6yvueqtty,33,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,70,ytyp7f4s8325pk68,252,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,150,n6w47q0k690w77e8,591,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,168,91r3hjuf5ghve1cx,675,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,176,5xpphz2dq3y2v7a8,707,hertog jan,hertog jan,Neutraal,Niet bij het kopen van pils
hertog~jan,188,58ya20sm5wfs217h,747,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,231,8sydgg4xye0pvcvc,888,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,291,9j0guf9d0aytyf7z,1082,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,311,wvamm96rqrpk6ggf,1154,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,329,jc3m5fhm327msxkm,1232,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,399,j0ev3qz369jykzp0,1616,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,424,xp3y0mxqu57tm5wg,1757,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,436,01qwm693q9kkthdz,1842,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,471,h0pbx1by7f4avj88,2042,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,536,7zhm0yjp96sd8f2b,1087,hertog jan,hertog jan,Neutraal,Relevant bij het kopen van pils
hertog~jan,540,n8wn8abmqm2e49js,1169,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
hertog~jan,596,2nek6ab6m3427hwa,1835,hertog jan,hertog jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,229,b3e34nr7fvc914m9,880,Hertog,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,443,sy8fesgr0yt7w66v,1876,Hertog,Hertog Jan,Positief,Relevant bij het kopen van pils
Hertog~Jan,174,hehmg5wkj37y0cz2,705,hertg jan,Hertog Jan,Positief,Relevant bij het kopen van pils
herfstbier,163,qgnf9548ufs1dyxs,658,herfstbier,herfstbier,Positief,Relevant bij het kopen van pils
Heineken,613,cem4y6rhk3ktvczt,2175,henieken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,536,7zhm0yjp96sd8f2b,1087,heneken,Heineken,Neutraal,Relevant bij het kopen van pils
helder~bier,67,74gq1gzu8cx1u40a,238,helder bier,helder bier,Positief,Niet bij het kopen van pils
helder,119,jbz1nqpphd4qd062,462,helder,helder,Positief,Niet bij het kopen van pils
helder,127,h1hdjc9y884se2kg,496,helder,helder,Positief,Relevant bij het kopen van pils
helder,494,2k8espgkj8bkxe7r,2241,helder,helder,Positief,Relevant bij het kopen van pils
Heineken,191,1gwsbxsd2gddfvc4,766,Heininken,Heineken,Neutraal,Relevant bij het kopen van pils
Heineken,85,r89nvhyv7tysaccb,303,heinikken,Heineken,Neutraal,Relevant bij het kopen van pils
Heineken,14,3wf4t8ubpph0prkz,43,Heiniken,Heineken,Positief,Niet bij het kopen van pils
Heineken,30,r6kfj06a5rbbc1zn,108,Heiniken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,100,mnwsgdv64an4p7pb,365,Heiniken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,149,9vtdsykbp1zs9276,588,Heiniken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,181,fnmwedrw3rnmz2cm,724,Heiniken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,285,pvbnt6zry3ea0jd7,1060,Heiniken,Heineken,Negatief,Relevant bij het kopen van pils
Heineken,386,gewruq4nn6n41vtm,1532,Heiniken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,330,ksjepkygk0v3nnj4,1234,heiniken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,371,6d05uk88ptra77n8,1433,heiniken,Heineken,Negatief,Niet bij het kopen van pils
Heineken,399,j0ev3qz369jykzp0,1616,heiniken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,418,h4kbfrckxrdfy8gx,1729,heiniken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,452,kcpnswudmvymk0sv,1912,heiniken,Heineken,Neutraal,Relevant bij het kopen van pils
Heineken,614,ju9wbzd0m2fas3xv,2191,heiniken,Heineken,Neutraal,Relevant bij het kopen van pils
Heineken,571,6m2zu8epruu3jh84,1524,Heinekken,Heineken,Positief,Relevant bij het kopen van pils
"heineken,~grolsch,~hertog~jan,~etc.",580,cy6ey3bh6bhh62rd,1634,"heineken, grolsch, hertog jan, etc.","heineken, grolsch, hertog jan, etc.",Neutraal,Niet bij het kopen van pils
Heineken,93,mkhru566a1cmvm3k,322,HEINEKEN,Heineken,Positief,Relevant bij het kopen van pils
Heineken,1,ystezfdpfhnw8gf2,6,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,10,4memqr0p2kn49a6r,34,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,13,8x41r8qu26mmfy4u,41,Heineken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,19,6h1bew3yqkmqgkak,64,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,20,x8eyybpd2qmc5b1t,69,Heineken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,59,s7agv9ee1j7rg9t0,213,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,60,eg7j69fefujxjra5,215,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,63,x0f8tmedg6a2tckr,219,Heineken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,95,qub3bd7azsh9u5n1,333,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,97,ys4kss0zajkcp8yu,336,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,106,w7fk4ern0f4xe3cb,391,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,120,k1js1e5pk13cuq8c,467,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,152,nu6zmr2w26ps9bcy,604,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,164,gmtsg47ae3cp58xn,665,Heineken,Heineken,Negatief,Niet bij het kopen van pils
Heineken,178,ccfacbq33n6x1bhk,713,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,186,4565tbbguq0djsqy,742,Heineken,Heineken,Positief,Niet bij het kopen van pils
Heineken,202,8g6nmrdsfebpv5jv,788,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,225,xu65312ur7rxh4by,871,Heineken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,239,gy6uqbskjr9vrd7k,913,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,250,96pcfzzn7zqx516w,939,Heineken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,257,h1rw3wneb66wf1b4,967,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,260,xd31ec5phjgar6ws,976,Heineken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,281,wfhx1ujsp9vvyhrm,1046,Heineken,Heineken,Negatief,Relevant bij het kopen van pils
Heineken,302,swcd4byv82khte1c,1112,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,312,z73x2umaxwzphpjg,1156,Heineken,Heineken,Negatief,Niet bij het kopen van pils
Heineken,313,xwx0960rxj5qesfk,1160,Heineken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,318,5s1tsry37tubq1w6,1170,Heineken,Heineken,Positief,Niet bij het kopen van pils
Heineken,325,2dsvc1ztr3c7qvk2,1216,Heineken,Heineken,Neutraal,Relevant bij het kopen van pils
Heineken,326,d5qwt2zgzk56uwwz,1220,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,331,14t1kdpu0cenb1cd,1243,Heineken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,334,460zcpgan27g5mvc,1263,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,345,u4q70tv9svmtd5xp,1328,Heineken,Heineken,Neutraal,Relevant bij het kopen van pils
Heineken,351,6d49pxhsypk4f81v,1350,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,365,6csgc2zrvhqrvzfs,1399,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,383,pr6h224nx1v97db8,1511,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,401,hh5thmw4dw30y91u,1654,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,419,483p99770ffhvq9m,1731,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,421,5pdu2d59mxgdxfqq,1734,Heineken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,444,69tcwb8r38z5scq4,1878,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,447,rvrhdmsnnxpmqh2z,1884,Heineken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,462,rc7keew278rg0za5,2009,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,463,rkget377b07fg6de,2010,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,474,ezb022cmdf24umaz,2051,Heineken,Heineken,Neutraal,Relevant bij het kopen van pils
Heineken,476,dujzb44xaq8g1etg,2063,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,484,554u458qk7q7afv7,2114,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,493,e7v8ksn9xppc4kdr,2203,Heineken,Heineken,Positief,Niet bij het kopen van pils
Heineken,506,dtm2v379uhha9tnj,286,Heineken,Heineken,Neutraal,Relevant bij het kopen van pils
Heineken,509,8b4hsa4jr483vsmf,310,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,510,1ujrvyzwyr37e0rb,311,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,513,9snstd93guemd5dz,384,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,516,4af2qn1j5y46yqw3,423,Heineken,Heineken,Positief,Niet bij het kopen van pils
Heineken,522,1pxj3rbhmr406dww,599,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,524,b3wk5ypevvxkkz7b,625,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,542,e73u9mxmds37jxmm,1186,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,544,5pqjehju8uz20zez,1230,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,547,syj9gn3wzb9m6n83,1253,Heineken,Heineken,Positief,Niet bij het kopen van pils
Heineken,564,e1ys4fz9pqmzkyc6,1461,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,581,47ehz8vm81u8xnqg,1639,Heineken,Heineken,Positief,Niet bij het kopen van pils
Heineken,587,jpx3bk4hx6ryqxef,1693,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,601,hxukp4v1tz32kbec,1927,Heineken,Heineken,Negatief,Niet bij het kopen van pils
Heineken,602,jdcquk7v022deedk,1991,Heineken,Heineken,Neutraal,Niet bij het kopen van pils
Heineken,603,dfkshwjh44d4553y,2008,Heineken,Heineken,Positief,Relevant bij het kopen van pils
Heineken,607,3add9w4mr4tr2dst,2073,Heineken,Heineken,Positief,Relevant bij het kopen van pils
heineken,2,0ghjsp3x4hswx5vm,10,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,6,1d1ebj408vx5jg11,17,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,21,8fczwfzjqm9a7dt5,72,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,37,yvcs2f8f3w8y0f61,140,heineken,heineken,Positief,Niet bij het kopen van pils
heineken,40,rxstefv3vvnmmwt5,156,heineken,heineken,Neutraal,Niet bij het kopen van pils
heineken,54,4rqt9yuyajcn9quv,192,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,55,1ufe4hkppsm8tg41,196,heineken,heineken,Neutraal,Relevant bij het kopen van pils
heineken,65,zww4a7k1uke6h036,231,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,80,j5byecdpjeqmet9k,275,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,82,mrw9xkgk1mapkcwg,284,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,102,06fq6ug5ejk7snqa,369,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,123,d9h6fdqrbk3dbpp5,482,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,159,fth2u8a1qr88phja,639,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,168,91r3hjuf5ghve1cx,675,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,174,hehmg5wkj37y0cz2,705,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,176,5xpphz2dq3y2v7a8,707,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,183,j6js930jppdx45dh,736,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,187,mnx7fhk3j90fy66p,743,heineken,heineken,Positief,Niet bij het kopen van pils
heineken,200,fuzpgymztdg3whvw,785,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,215,wsp1d6grzn09xuzd,836,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,216,0w77vbm3tcbjwctn,837,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,221,c6h6ft1tspww22m6,852,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,226,8gq1w5ekwvksz818,872,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,241,m04eku08g09ajcb2,921,heineken,heineken,Neutraal,Niet bij het kopen van pils
heineken,249,v88wk2rzpsp6mauk,938,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,267,tc25frsvs9431ys7,993,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,270,m377g25kp685f2vz,998,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,282,c0ph7wtq8mrtywvf,1055,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,288,q9g5dv9qqfyu9p05,1074,heineken,heineken,Positief,Niet bij het kopen van pils
heineken,291,9j0guf9d0aytyf7z,1082,heineken,heineken,Neutraal,Niet bij het kopen van pils
heineken,293,w9stc4b30a0du0wx,1086,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,297,38w6pdymgm85stpp,1100,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,309,h7v0y91mjc6wdm3s,1142,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,315,n3vf2dabkahyn27p,1162,heineken,heineken,Neutraal,Relevant bij het kopen van pils
heineken,320,sp3ntfnq9hs28rc0,1176,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,329,jc3m5fhm327msxkm,1232,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,360,hu5rx3wp7tm9g660,1392,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,361,nsnfqgyc3rqh2qv8,1393,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,378,pda07h2gwgwv3xs0,1488,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,379,u1m15wej41374k63,1491,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,390,dw8rj1jfpvq89b2y,1555,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,397,x9w34a7hamxwrudv,1593,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,424,xp3y0mxqu57tm5wg,1757,heineken,heineken,Neutraal,Niet bij het kopen van pils
heineken,426,7y2nsj5c43s5g5rh,1771,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,431,b8twbbcdkp1uemd3,1797,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,436,01qwm693q9kkthdz,1842,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,437,akrnheq1r2ftz0ng,1850,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,449,1f9js5tjmjsgsu09,1893,heineken,heineken,Positief,Niet bij het kopen van pils
heineken,459,n9y3y9s0bf9j9ma7,1990,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,464,tcn60kbjdk31gh2d,2016,heineken,heineken,Neutraal,Relevant bij het kopen van pils
heineken,471,h0pbx1by7f4avj88,2042,heineken,heineken,Neutraal,Niet bij het kopen van pils
heineken,473,3h814byux6dymabf,2044,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,477,sfur8186g1gda560,2066,heineken,heineken,Neutraal,Niet bij het kopen van pils
heineken,483,8xt89a8yk45ppbba,2108,heineken,heineken,Positief,Niet bij het kopen van pils
heineken,498,vshfge223xnfqv99,59,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,514,ja3098c6b9eabh06,411,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,525,q9xfekywa5v1f8hn,633,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,526,zx1taqrjquqypjkb,644,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,528,8mw3nssywpfyrxmr,668,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,535,n8ygm3dx2twq2jux,867,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,554,ygw6qkthwst30d0j,1400,heineken,heineken,Neutraal,Relevant bij het kopen van pils
heineken,555,7q1zu01pb9v4zc4q,1402,heineken,heineken,Negatief,Niet bij het kopen van pils
heineken,573,n0hg6dwbqvqyddvk,1551,heineken,heineken,Neutraal,Niet bij het kopen van pils
heineken,594,84xghxzqah1ubzkm,1801,heineken,heineken,Negatief,Niet bij het kopen van pils
heineken,596,2nek6ab6m3427hwa,1835,heineken,heineken,Positief,Relevant bij het kopen van pils
heineken,600,fgrwmuk8pykv5gwz,1922,heineken,heineken,Negatief,Niet bij het kopen van pils
Heineken,268,69f6vsh9wbx9gww8,995,Heineke,Heineken,Positief,Relevant bij het kopen van pils
Heineken,195,y75qbencp2v21dz0,773,heineke,Heineken,Positief,Relevant bij het kopen van pils
Heineken,344,uh7cmpgdjwkmxpsd,1319,heineke,Heineken,Positief,Relevant bij het kopen van pils
Heineken,545,sezsdmmabvq4s6nu,1237,Heindken,Heineken,Positief,Niet bij het kopen van pils
Heerlijk~koud,175,uyrsq2auywprm10y,706,Heerlijk koud,Heerlijk koud,Positief,Relevant bij het kopen van pils
Haring,603,dfkshwjh44d4553y,2008,Haring,Haring,Positief,Niet bij het kopen van pils
Halve~liter,136,tejkrb73ta2z1d0m,532,Halve liter,Halve liter,Positief,Relevant bij het kopen van pils
Haicom,583,ah6emruj5y9ntj9g,1642,Haicom,Haicom,Positief,Relevant bij het kopen van pils
Hafferoder,229,b3e34nr7fvc914m9,880,Hafferoder,Hafferoder,Positief,Relevant bij het kopen van pils
Gulpener,152,nu6zmr2w26ps9bcy,604,Gulpener,Gulpener,Positief,Relevant bij het kopen van pils
Gulpener,260,xd31ec5phjgar6ws,976,Gulpener,Gulpener,Positief,Relevant bij het kopen van pils
Gulpener,319,5rf5x79vvbp88kza,1175,Gulpener,Gulpener,Positief,Relevant bij het kopen van pils
Gulpener,325,2dsvc1ztr3c7qvk2,1216,Gulpener,Gulpener,Positief,Relevant bij het kopen van pils
Gulpener,422,a5arcbd1p3cup082,1740,Gulpener,Gulpener,Positief,Relevant bij het kopen van pils
gulpener,526,zx1taqrjquqypjkb,644,gulpener,gulpener,Positief,Relevant bij het kopen van pils
grote~merken,230,7m1w8q0s6d27c8qy,883,grote merken,grote merken,Neutraal,Niet bij het kopen van pils
Grolsch,268,69f6vsh9wbx9gww8,995,Grolsh,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,286,4jsfgf6vuj41hfsz,1067,Grolsh,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,216,0w77vbm3tcbjwctn,837,grolsh,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,241,m04eku08g09ajcb2,921,grolsh,Grolsch,Neutraal,Niet bij het kopen van pils
Grolsch,315,n3vf2dabkahyn27p,1162,grolsh,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,267,tc25frsvs9431ys7,993,grolsche,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,93,mkhru566a1cmvm3k,322,GROLSCH,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,13,8x41r8qu26mmfy4u,41,Grolsch,Grolsch,Neutraal,Niet bij het kopen van pils
Grolsch,55,1ufe4hkppsm8tg41,196,Grolsch,Grolsch,Neutraal,Relevant bij het kopen van pils
Grolsch,63,x0f8tmedg6a2tckr,219,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,106,w7fk4ern0f4xe3cb,391,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,109,0vcxpwyfc3vx5jnk,412,Grolsch,Grolsch,Positief,Niet bij het kopen van pils
Grolsch,136,tejkrb73ta2z1d0m,532,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,152,nu6zmr2w26ps9bcy,604,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,164,gmtsg47ae3cp58xn,665,Grolsch,Grolsch,Neutraal,Niet bij het kopen van pils
Grolsch,177,hcm89bq4pq4y9rea,710,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,189,60ys1gxmg11hbvnf,754,Grolsch,Grolsch,Neutraal,Niet bij het kopen van pils
Grolsch,217,eqpdt52k1httyf3b,840,Grolsch,Grolsch,Positief,Niet bij het kopen van pils
Grolsch,225,xu65312ur7rxh4by,871,Grolsch,Grolsch,Neutraal,Niet bij het kopen van pils
Grolsch,239,gy6uqbskjr9vrd7k,913,Grolsch,Grolsch,Negatief,Niet bij het kopen van pils
Grolsch,260,xd31ec5phjgar6ws,976,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,312,z73x2umaxwzphpjg,1156,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,326,d5qwt2zgzk56uwwz,1220,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,383,pr6h224nx1v97db8,1511,Grolsch,Grolsch,Neutraal,Niet bij het kopen van pils
Grolsch,415,xm4s5y9jqcu6rj4z,1719,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,421,5pdu2d59mxgdxfqq,1734,Grolsch,Grolsch,Neutraal,Niet bij het kopen van pils
Grolsch,462,rc7keew278rg0za5,2009,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,474,ezb022cmdf24umaz,2051,Grolsch,Grolsch,Neutraal,Relevant bij het kopen van pils
Grolsch,493,e7v8ksn9xppc4kdr,2203,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,506,dtm2v379uhha9tnj,286,Grolsch,Grolsch,Neutraal,Relevant bij het kopen van pils
Grolsch,510,1ujrvyzwyr37e0rb,311,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,513,9snstd93guemd5dz,384,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,516,4af2qn1j5y46yqw3,423,Grolsch,Grolsch,Positief,Niet bij het kopen van pils
Grolsch,557,0pepd0gxx1u2c5q9,1421,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
Grolsch,571,6m2zu8epruu3jh84,1524,Grolsch,Grolsch,Positief,Relevant bij het kopen van pils
grolsch,21,8fczwfzjqm9a7dt5,72,grolsch,grolsch,Positief,Relevant bij het kopen van pils
grolsch,54,4rqt9yuyajcn9quv,192,grolsch,grolsch,Positief,Relevant bij het kopen van pils
grolsch,70,ytyp7f4s8325pk68,252,grolsch,grolsch,Positief,Relevant bij het kopen van pils
grolsch,80,j5byecdpjeqmet9k,275,grolsch,grolsch,Positief,Relevant bij het kopen van pils
grolsch,133,uqny3b1yd1qgep2a,521,grolsch,grolsch,Positief,Relevant bij het kopen van pils
