Associaties;Positief/negatief;Relevant/niet relevant;Socdemo;Missie;Kopen Energiedrank;Drinken energiedrank;Kopen Red Bull;;;Positief/negatief;Relevant/niet relevant
Mierzoet;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;1-2x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
Middelbare school;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;1-2x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
middelbare scholieren;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Nooit;1-2x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
met prik;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
mbo'er;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - social;Nooit;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
Max Verstappen;Positief;Niet relevant wanneer ik energiedrank koop;Man 15-34;Stocking up;3-4x per jaar;2-6x per week;Minder dan 1x per jaar;potential;;Positief;Niet relevant wanneer ik energiedrank koop
Max Verstappen;Positief;Niet relevant wanneer ik energiedrank koop;Man 50-65;Take with;Nooit;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Niet relevant wanneer ik energiedrank koop
Max verstappen;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;1-2x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Positief;Niet relevant wanneer ik energiedrank koop
light;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;1-2x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Lekkere manier je vochtgehalte aanvullen;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - social;1x per maand;1x per maand;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker genieten;Positief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - social;5-11x per jaar;5-11x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
Lekker energiedrank cassis van lidl;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;2-6x per week;2-6x per week;Minder dan 1x per jaar;potential;;Positief;Niet relevant wanneer ik energiedrank koop
Lekker;Positief;Relevant wanneer ik energiedrank koop;Man 15-34;Stocking up;3-4x per jaar;2-6x per week;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
Lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Fill up;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
Lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;1x per week;2-6x per week;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;1x per week;Nooit;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Niet relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;1x per dag;Meer dan 1x per dag;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;2-3x per maand;2-3x per maand;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;2-3x per maand;1x per dag;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
lange autoritten;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - social;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
LAN;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;3-4x per jaar;5-11x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Koud;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;1x per week;2-6x per week;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
koop ik niet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Stocking up;1-2x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
koolzuur;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;On the go;Nooit;Nooit;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
koolzuur;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
koolzuur;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;1x per week;1x per week;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
koolzuur;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 50-65;Direct consumption - social;Minder dan 1x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
koffie;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;5-11x per jaar;3-4x per jaar;Minder dan 1x per jaar;potential;;Positief;Niet relevant wanneer ik energiedrank koop
koffie;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;5-11x per jaar;5-11x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
Kleuren;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;1-2x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
kleine flesjes;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Minder dan 1x per jaar;Nooit;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
klein blikje;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Nooit;Nooit;Minder dan 1x per jaar;potential;;Positief;Niet relevant wanneer ik energiedrank koop
Kaugombal;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Fill up;1x per maand;1x per maand;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
Jongeren;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 15-34;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
is een energie opwekkend drankje wat vreselijk stinkt en goor is;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - social;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
in plaats van koffie;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Take with;1x per maand;1x per maand;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
hypertoon;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 35-49;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Hyper;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;5-11x per jaar;Nooit;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
hyper;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Minder dan 1x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
hyper;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - functional;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
hype;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Fill up;5-11x per jaar;2-3x per maand;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
huismerk;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - functional;1x per maand;1x per maand;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
huismerk;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - social;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Niet relevant wanneer ik energiedrank koop
Hoge harrtslag;Negatief;Relevant wanneer ik energiedrank koop;Man 50-65;Stocking up;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
Het geeft nep energie. Ik wordt niet drukker van.;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Fill up;2-6x per week;2-6x per week;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
helder moment;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
hartkloppingen;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;1-2x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
hartkloppingen;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Minder dan 1x per jaar;3-4x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
hartkloppingen;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
groot gevaar voor je gezondheid;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - functional;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
goldenpower;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Fill up;1x per maand;1x per maand;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Goedkoop;Positief;Niet relevant wanneer ik energiedrank koop;Man 15-34;On the go;1x per week;1x per week;Minder dan 1x per jaar;potential;;Positief;Niet relevant wanneer ik energiedrank koop
goedkoop;Positief;Relevant wanneer ik energiedrank koop;Man 15-34;Take with;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
goedkoop;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;5-11x per jaar;5-11x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
Geen;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 15-34;Fill up;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
geen;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;On the go;3-4x per jaar;3-4x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Geeft energie;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
geeft een boost;Positief;Relevant wanneer ik energiedrank koop;Man 15-34;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
Gatorade;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 50-65;Direct consumption - social;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
games;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;3-4x per jaar;5-11x per jaar;Minder dan 1x per jaar;potential;;Positief;Niet relevant wanneer ik energiedrank koop
futloos;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 35-49;On the go;Nooit;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Fruitsmaken;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;1-2x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
fris;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Niet relevant wanneer ik energiedrank koop
fout;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;3-4x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
flesjes her te gebruiken voor school;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Minder dan 1x per jaar;Nooit;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
fit;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
favoeriet bij jeugd;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Minder dan 1x per jaar;Nooit;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
engergieboost;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - functional;5-11x per jaar;5-11x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
Energy;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;1x per week;2-6x per week;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
Energy;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;1-2x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
energy;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;1x per week;1x per week;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
Energiekick;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Take with;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Energiedip;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
energiebooster;Positief;Relevant wanneer ik energiedrank koop;Man 50-65;Take with;Nooit;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
Energieboost;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - functional;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
energieboost;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - social;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energiebom;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Minder dan 1x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energiebehoefte;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;1-2x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie!;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
Energie krijgen tijdens het sporten;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - social;1x per maand;1x per maand;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie drank is suikerrommel met cafeïne;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - functional;Minder dan 1x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
Energie;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;3-4x per jaar;3-4x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Energie;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
Energie;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 15-34;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Energie;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Take with;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
Energie;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;2-6x per week;2-6x per week;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Stocking up;1-2x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;1-2x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;On the go;Nooit;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;2-3x per maand;2-3x per maand;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;Nooit;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
energie;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Nooit;1-2x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Take with;1x per maand;1x per maand;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;3-4x per jaar;5-11x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - functional;5-11x per jaar;5-11x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
energie;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;1x per dag;Meer dan 1x per dag;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;5-11x per jaar;5-11x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - social;5-11x per jaar;5-11x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
energie;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Minder dan 1x per jaar;potential;;Positief;Niet relevant wanneer ik energiedrank koop
een drankje met veel suiker;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Direct consumption - social;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
Duur;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Stocking up;3-4x per jaar;2-6x per week;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
Duur;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
Duur;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Take with;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
duur;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Stocking up;1-2x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
duur;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
duur;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
duur;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Minder dan 1x per jaar;Nooit;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
duur;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Nooit;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
dure blikjes;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Take with;1x per maand;1x per maand;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
Druk;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;On the go;1x per week;1x per week;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
druk;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Nooit;1-2x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
drinken;Positief;Relevant wanneer ik energiedrank koop;Man 15-34;Fill up;5-11x per jaar;5-11x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
drink ik als ik lang wakker moet blijven (auto rijden op vakantie);Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
drankje met veel suiker;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;1-2x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
drank;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;1x per week;1x per week;Minder dan 1x per jaar;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
dragon;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - functional;1x per maand;1x per maand;Minder dan 1x per jaar;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
dorstlessend;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
Door kunnen gaan;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - functional;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Positief;Relevant wanneer ik energiedrank koop
Dikke kinderen;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - social;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
diabetes;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - functional;Minder dan 1x per jaar;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
Deadlines;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;1-2x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
chemische rommel;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Nooit;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
chemisch;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;1-2x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
chemisch;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - social;Nooit;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
Calorien;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Nooit;Minder dan 1x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
calorien;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;1-2x per jaar;1-2x per jaar;Minder dan 1x per jaar;potential;;Negatief;Relevant wanneer ik energiedrank koop
